"path";"PDF";"original";"extracted";"PublicationType";"Title";"Publicationtype";"Abstract";"Keywords";"Authors";"Emails";"Author-Emails";"Affiliations";"Author-Affiliations";"Source";"Volume";"Issue";"Page from";"Page to";"Location";"Date";"Doi";"Sections";"Section-Levels";"Section-References";"References";"Precision";"Recall";"F1"
"TUW-174216";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-174216.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-174216-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-174216-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"88,89";"100,00";"NA";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"100,00";"NA";"84,21";"94,12";"0,00";"57,14";"85,56";"82,91";"83,79"
"TUW-175428";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-175428.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-175428-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-175428-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"0,00";"0,00";"NA";"66,67";"73,85";"15,38";"100,00";"62,38";"18,94";"21,32"
"TUW-176087";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-176087.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-176087-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-176087-xstream.xml"")";"Buchbeiträge";"100,00";"0,00";"100,00";"100,00";"100,00";"0,00";"0,00";"83,33";"75,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"66,67";"96,55";"87,12";"69,36";"70,89"
"TUW-177140";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-177140.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-177140-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-177140-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"0,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"66,67";"66,67";"57,14";"100,00";"87,50";"80,00";"82,54"
"TUW-179146";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-179146.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-179146-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-179146-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"NA";"NA";"66,67";"66,67";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"90,91";"100,00";"96,67";"90,00";"92,42"
"TUW-180162";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-180162.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-180162-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-180162-xstream.xml"")";"Beiträge in Tagungsbänden";"0,00";"100,00";"100,00";"NA";"100,00";"50,00";"50,00";"50,00";"66,67";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"93,33";"100,00";"80,00";"100,00";"95,15";"69,51";"74,17"
"TUW-181199";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-181199.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-181199-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-181199-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"66,67";"66,67";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"90,91";"90,91";"85,71";"100,00";"91,67";"95,14";"91,74"
"TUW-182414";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-182414.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-182414-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-182414-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"0,00";"NA";"80,00";"100,00";"100,00";"66,67";"40,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"57,14";"66,67";"0,00";"70,59";"70,91";"54,08";"56,75"
"TUW-182899";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-182899.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-182899-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-182899-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"57,14";"66,67";"66,67";"66,67";"100,00";"33,33";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"78,26";"100,00";"76,15";"61,74";"66,83"
"TUW-185321";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-185321.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-185321-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-185321-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"0,00";"NA";"40,00";"NA";"NA";"100,00";"40,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"88,89";"NA";"0,00";"100,00";"68,33";"66,67";"63,21"
