"path";"PDF";"original";"extracted";"PublicationType";"Id";"Marker";"Title";"Source";"Publisher";"Editor";"Authors";"Edition";"Volume";"Issue";"Chapter";"Note";"Page from";"Page to";"Location";"Date";"Doi";"Url";"Precision";"Recall";"F1"
"TUW-140895-ref8";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-1408958.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-1408958-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-1408958-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"100,00";"NA";"0,00";"NA";"NA";"NA";"0,00";"0,00";"NA";"0,00";"NA";"NA";"33,33";"11,11";"11,11"
"TUW-140895-ref9";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-1408959.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-1408959-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-1408959-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"100,00";"NA";"NA";"0,00";"NA";"100,00";"NA";"NA";"NA";"100,00";"100,00";"NA";"100,00";"NA";"NA";"71,43";"55,56";"55,56"
"TUW-140895-ref10";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089510.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089510-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089510-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"NA";"0,00";"0,00";"NA";"0,00";"NA";"NA";"NA";"NA";"0,00";"NA";"NA";"0,00";"100,00";"NA";"NA";"25,00";"14,29";"12,50"
"TUW-140895-ref11";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089511.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089511-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089511-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"100,00";"NA";"0,00";"NA";"NA";"NA";"0,00";"0,00";"NA";"0,00";"NA";"NA";"33,33";"11,11";"11,11"
"TUW-140895-ref12";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089512.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089512-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089512-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"100,00";"100,00";"NA";"NA";"100,00";"NA";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"NA";"0,00";"NA";"NA";"75,00";"30,00";"30,00"
"TUW-140895-ref13";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089513.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089513-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089513-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"NA";"NA";"0,00";"NA";"NA";"0,00";"100,00";"NA";"NA";"25,00";"12,50";"11,11"
"TUW-140895-ref14";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089514.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089514-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089514-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"100,00";"100,00";"0,00";"NA";"100,00";"NA";"0,00";"NA";"NA";"NA";"0,00";"0,00";"NA";"0,00";"NA";"NA";"75,00";"30,00";"30,00"
"TUW-140895-ref15";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089515.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089515-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089515-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"0,00";"0,00";"NA";"NA";"33,33";"12,50";"12,50"
"TUW-140895-ref16";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089516.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089516-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089516-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"100,00";"NA";"0,00";"NA";"NA";"NA";"0,00";"0,00";"NA";"NA";"NA";"NA";"33,33";"12,50";"12,50"
"TUW-140895-ref17";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089517.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089517-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089517-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"0,00";"NA";"100,00";"NA";"NA";"NA";"100,00";"100,00";"NA";"100,00";"NA";"NA";"66,67";"44,44";"44,44"
"TUW-140895-ref18";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089518.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089518-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089518-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"100,00";"NA";"NA";"0,00";"NA";"100,00";"100,00";"NA";"NA";"100,00";"100,00";"NA";"100,00";"NA";"NA";"75,00";"60,00";"60,00"
"TUW-140895-ref23";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089523.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089523-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089523-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"NA";"0,00";"NA";"NA";"40,00";"20,00";"20,00"
"TUW-140895-ref26";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089526.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089526-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089526-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"NA";"NA";"0,00";"NA";"NA";"NA";"100,00";"NA";"NA";"25,00";"12,50";"12,50"
"TUW-140895-ref27";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089527.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089527-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089527-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"100,00";"NA";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"0,00";"NA";"NA";"33,33";"12,50";"12,50"
"TUW-140895-ref31";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089531.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089531-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089531-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"0,00";"0,00";"NA";"0,00";"NA";"NA";"0,00";"0,00";"0,00"
"TUW-140895-ref32";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-14089532.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-14089532-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-14089532-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"100,00";"NA";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"NA";"0,00";"NA";"NA";"25,00";"10,00";"9,09"
"TUW-141024-ref1";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-1410241.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-1410241-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-1410241-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"100,00";"NA";"NA";"92,86";"NA";"100,00";"100,00";"NA";"NA";"100,00";"100,00";"NA";"100,00";"NA";"NA";"99,21";"89,29";"89,29"
"TUW-141024-ref2";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-1410242.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-1410242-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-1410242-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"100,00";"NA";"NA";"0,00";"NA";"100,00";"100,00";"NA";"NA";"100,00";"100,00";"NA";"100,00";"NA";"NA";"88,89";"80,00";"80,00"
"TUW-141024-ref3";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-1410243.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-1410243-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\grobid\grobid-TUW-1410243-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"NA";"100,00";"100,00";"NA";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"0,00";"100,00";"NA";"NA";"100,00";"71,43";"71,43"
